model_name,def_gen,atk_gen,accuracy,adv_accuracy,def_value,adv_failure_rate,train_time,predict_time,adv_predict_time,data.sample.random_state,Epochs,model_layers,model.init.name,data,attack,model,dataset
ResNet101,Conf,Deep,0.1986666666666666,0.0,0.8988764044943821,45.98713433026622,94.400740803,2.174521232,0.020679717,2,20.0,101,torch_example.ResNet101,78415bfb835b02f5f924eaa8a5cbe538,78415bfb835b02f5f924eaa8a5cbe538,78415bfb835b02f5f924eaa8a5cbe538,cifar
ResNet101,Conf,Thresh,0.5396666666666666,0.14,0.0,39.17895860024683,94.400740803,2.195055792,0.020620977,8,20.0,101,torch_example.ResNet101,7db39d7353543863b2d3fbf74857b5b0,7db39d7353543863b2d3fbf74857b5b0,7db39d7353543863b2d3fbf74857b5b0,cifar
ResNet101,Conf,PGD,0.6135,0.07,1.0,42.19228553238887,94.263016054,2.204194412,0.02115426,3,20.0,101,torch_example.ResNet101,8eca7723d56d5e481146cd625a8e3844,8eca7723d56d5e481146cd625a8e3844,8eca7723d56d5e481146cd625a8e3844,cifar
ResNet101,Conf,Deep,0.0,0.13,1.0,39.35231493993452,94.255909845,2.210797513,0.02108981,0,20.0,101,torch_example.ResNet101,91cafb5dec0ddc8f7dbde7fbf0212cfe,91cafb5dec0ddc8f7dbde7fbf0212cfe,91cafb5dec0ddc8f7dbde7fbf0212cfe,cifar
ResNet101,Conf,HSJ,0.60625,0.12,0.0,40.00866911479532,94.216340555,2.199523302,0.021363626,3,20.0,101,torch_example.ResNet101,9398367a8571363e200a6851a942a26c,9398367a8571363e200a6851a942a26c,9398367a8571363e200a6851a942a26c,cifar
ResNet101,Conf,PGD,0.0,0.09,0.0,41.12070027565672,94.227971726,2.212997332,0.021227871,2,20.0,101,torch_example.ResNet101,962dab921fbd9a6a60c2fbd1ab992493,962dab921fbd9a6a60c2fbd1ab992493,962dab921fbd9a6a60c2fbd1ab992493,cifar
ResNet101,Conf,Deep,0.11375,0.0,1.0,29.40599946076513,94.227971726,3.400666593,0.021203962,5,20.0,101,torch_example.ResNet101,9880666a4b022f7a3db83b63ecf0b144,9880666a4b022f7a3db83b63ecf0b144,9880666a4b022f7a3db83b63ecf0b144,cifar
ResNet101,Conf,FGM,0.1143333333333333,0.09,0.2247191011235954,41.78170121726394,94.345794933,2.17798695,0.020717412,2,20.0,101,torch_example.ResNet101,99dab7f0c4ff0156f44453714f9a9f14,99dab7f0c4ff0156f44453714f9a9f14,99dab7f0c4ff0156f44453714f9a9f14,cifar
ResNet101,Conf,Pixel,0.0,0.08,0.449438202247191,44.556724182160345,94.391786582,2.064783749,0.020800685,8,20.0,101,torch_example.ResNet101,9bf0df1da8dc8b28d63c03957a957336,9bf0df1da8dc8b28d63c03957a957336,9bf0df1da8dc8b28d63c03957a957336,cifar
ResNet101,Conf,Pixel,0.0,0.04,0.449438202247191,27.98413423302181,94.391786582,3.430515277,0.020743819,9,20.0,101,torch_example.ResNet101,9d98f6606ceccb412fc3d2386b7ec610,9d98f6606ceccb412fc3d2386b7ec610,9d98f6606ceccb412fc3d2386b7ec610,cifar
