model_name,dataset,def_gen,atk_gen,accuracy,adv_accuracy,def_value,adv_failure_rate,train_time,predict_time,adv_predict_time,data.sample.random_state,Epochs,model_layers,model.init.name,data,attack,model
ResNet101,cifar100,Conf,FGM,0.0096666666666666,0.0,0.0,7.836752691207213,729.341370863,12.760387362,0.058284229,8,1,101,torch_example.ResNet101,3a446c3e9f87358a43736d5c7309fd28,3a446c3e9f87358a43736d5c7309fd28,3a446c3e9f87358a43736d5c7309fd28
ResNet101,cifar100,Conf,PGD,0.0168333333333333,0.01,0.449438202247191,0.8778156738223729,19793.099860158,112.779941111,0.959324148,5,1,101,torch_example.ResNet101,3c59982435dab88460f7e142f83f95a5,3c59982435dab88460f7e142f83f95a5,3c59982435dab88460f7e142f83f95a5
ResNet101,cifar100,Conf,Deep,0.0215,0.0,0.2247191011235954,8.90608925469083,695.850437382,11.22827283,0.092862606,1,1,101,torch_example.ResNet101,3e8d0129d6c7ce06f17356a6ea249f2e,3e8d0129d6c7ce06f17356a6ea249f2e,3e8d0129d6c7ce06f17356a6ea249f2e
ResNet101,cifar100,Conf,HSJ,0.0100833333333333,0.0,0.449438202247191,11.703186067709488,638.648211789,8.544681715,0.036193278,7,1,101,torch_example.ResNet101,3f2bdfeca7bd48e22d572c254183a90f,3f2bdfeca7bd48e22d572c254183a90f,3f2bdfeca7bd48e22d572c254183a90f
ResNet101,cifar100,Conf,FGM,0.0103333333333333,0.02,0.449438202247191,8.3716093435333,751.363618884,11.706231858,0.071588136,8,1,101,torch_example.ResNet101,3fa2d014712efd965eb1adfc2bebf734,3fa2d014712efd965eb1adfc2bebf734,3fa2d014712efd965eb1adfc2bebf734
ResNet101,cifar100,Conf,FGM,0.19075,0.0,0.2247191011235954,8.35063432784518,761.84002369,11.975138184,0.069795056,1,1,101,torch_example.ResNet101,4036c39d0c95adfd87f6c7913f088782,4036c39d0c95adfd87f6c7913f088782,4036c39d0c95adfd87f6c7913f088782
ResNet101,cifar100,Conf,FGM,0.0165833333333333,0.01,0.449438202247191,0.8399832058736627,21160.714883613,117.859499223,0.981045816,1,1,101,torch_example.ResNet101,412fb708f1f9d37b20913d2a65dc9670,412fb708f1f9d37b20913d2a65dc9670,412fb708f1f9d37b20913d2a65dc9670
ResNet101,cifar100,Conf,Deep,0.01775,0.0,0.2247191011235954,0.8449272747254598,20757.015414384,118.353381399,1.462153536,4,1,101,torch_example.ResNet101,41c60d2f6cefee9712dee834f628eb37,41c60d2f6cefee9712dee834f628eb37,41c60d2f6cefee9712dee834f628eb37
ResNet101,cifar100,Conf,HSJ,0.0789166666666666,0.0,0.8988764044943821,0.8811417231444454,20118.627833169,113.489121413,0.963200285,9,1,101,torch_example.ResNet101,4389ed69610b557aa38a5f81ac735165,4389ed69610b557aa38a5f81ac735165,4389ed69610b557aa38a5f81ac735165
ResNet101,cifar100,Conf,HSJ,0.08775,0.0,0.2247191011235954,0.8413848261145439,21219.072010682,118.851679869,0.993407198,8,1,101,torch_example.ResNet101,441d0b38a0b208f28afc581355cc0d42,441d0b38a0b208f28afc581355cc0d42,441d0b38a0b208f28afc581355cc0d42
ResNet101,cifar100,Conf,FGM,0.0165833333333333,0.01,0.0,7.967460663376941,765.442738312,12.425539853,0.069690711,2,1,101,torch_example.ResNet101,44deed8fc6d656ac3247c2450ba9675a,44deed8fc6d656ac3247c2450ba9675a,44deed8fc6d656ac3247c2450ba9675a
ResNet101,cifar100,Conf,FGM,0.0284166666666666,0.02,0.449438202247191,0.8564709042054038,20765.349226777,114.42303471,0.987961129,9,1,101,torch_example.ResNet101,44ed790b87e7ec1ed6613265d084dfc9,44ed790b87e7ec1ed6613265d084dfc9,44ed790b87e7ec1ed6613265d084dfc9
ResNet101,cifar100,Conf,HSJ,0.0151666666666666,0.01,0.449438202247191,0.8458887209655008,21027.95939423,117.036671073,0.985822425,2,1,101,torch_example.ResNet101,457b7de4c61daacce93365abaf64ccef,457b7de4c61daacce93365abaf64ccef,457b7de4c61daacce93365abaf64ccef
ResNet101,cifar100,Conf,Pixel,0.0108333333333333,0.01,0.0,12.77723451866181,610.477012638,7.748155507,0.02378824,0,1,101,torch_example.ResNet101,45c3ae2b6ab00ec7a4be89cca10379e0,45c3ae2b6ab00ec7a4be89cca10379e0,45c3ae2b6ab00ec7a4be89cca10379e0
ResNet101,cifar100,Conf,FGM,0.01175,0.0,0.0,8.767798816158967,789.84352918,11.405371188,0.072956465,9,1,101,torch_example.ResNet101,464867e01b1ecba32e780b5ad0f85f4d,464867e01b1ecba32e780b5ad0f85f4d,464867e01b1ecba32e780b5ad0f85f4d
ResNet101,cifar100,Conf,FGM,0.0799166666666666,0.0,0.8988764044943821,0.8450564699863684,20566.046263064,118.33528711,0.980925409,4,1,101,torch_example.ResNet101,46534f69f481303f36e0e6dbdcfcc888,46534f69f481303f36e0e6dbdcfcc888,46534f69f481303f36e0e6dbdcfcc888
ResNet101,cifar100,Conf,Pixel,0.0118333333333333,0.01,0.0,10.89414439267914,624.55721021,9.087450692,0.029284523,0,1,101,torch_example.ResNet101,47ec3254eb6d625604e2219e36be5fe7,47ec3254eb6d625604e2219e36be5fe7,47ec3254eb6d625604e2219e36be5fe7
ResNet101,cifar100,Conf,Pixel,0.0895833333333333,0.01,0.8988764044943821,10.912930612002103,632.944170175,9.071806971,0.023766475,7,1,101,torch_example.ResNet101,49c66d66371e664cbef774985853e965,49c66d66371e664cbef774985853e965,49c66d66371e664cbef774985853e965
ResNet101,cifar100,Conf,FGM,0.0125,0.0,0.2247191011235954,0.8746680804484306,20802.671816588,114.329083495,0.985506187,8,1,101,torch_example.ResNet101,4aea748472ed10013422bb6b34c3f7cb,4aea748472ed10013422bb6b34c3f7cb,4aea748472ed10013422bb6b34c3f7cb
ResNet101,cifar100,Conf,HSJ,0.0118333333333333,0.01,0.2247191011235954,11.106302970678344,638.574938585,8.913857317,0.03609814,0,1,101,torch_example.ResNet101,4b622807f4059d77981c54c9aa466c33,4b622807f4059d77981c54c9aa466c33,4b622807f4059d77981c54c9aa466c33
ResNet101,cifar100,Conf,Deep,0.1604166666666666,0.0,0.8988764044943821,0.8621158737324454,21162.565103252,115.993688374,0.986582276,8,1,101,torch_example.ResNet101,4b8789440a036079ecd211a055bbb273,4b8789440a036079ecd211a055bbb273,4b8789440a036079ecd211a055bbb273
ResNet101,cifar100,Conf,Deep,0.0154166666666666,0.0,1.0,9.860899412542723,700.230646103,10.141062779,0.048149348,1,1,101,torch_example.ResNet101,4c6bf4d0766dd3feffb22279f0e12956,4c6bf4d0766dd3feffb22279f0e12956,4c6bf4d0766dd3feffb22279f0e12956
ResNet101,cifar100,Conf,PGD,0.0115,0.01,0.0,0.8655109301757142,21053.907410747,114.383304183,0.993335785,6,1,101,torch_example.ResNet101,4e5dbf022661322e134ad36782ae5726,4e5dbf022661322e134ad36782ae5726,4e5dbf022661322e134ad36782ae5726
